"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "CSS", "XML", "Svelte", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\oneko\oneko.js", "JavaScript", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 16, 29, 252
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\oneko\oneko.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 222, 0, 0, 0, 0, 30, 252
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\server\db\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\server\db\schema.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\shiki\gruvbox-dark.json", "JSON", 0, 0, 0, 1130, 0, 0, 0, 0, 0, 0, 0, 1, 1131
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\shiki\gruvbox-light.json", "JSON", 0, 0, 0, 1130, 0, 0, 0, 0, 0, 0, 0, 1, 1131
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\stores\blogTocStore.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\stores\sidebarStore.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\ayano-autoreload\metadata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\ayano-autoreload\page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\ayano-markdown\metadata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\ayano-markdown\page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 1, 72
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\get-utils.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\markdown-converter\metadata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\markdown-converter\page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 12, 83
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\rss-viewer\metadata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\rss-viewer\page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\split-it\metadata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\split-it\page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 16, 162
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\useragent\metadata.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\utils\useragent\page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\jbcarreon123\Documents\jbsite3\src\lib\wip-blogs\get-blogs-wip.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\+layout.server.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 31, 255
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\+layout.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\+page.server.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 19, 154
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\about\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\accessibility\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 3, 63
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\blogs\+page.server.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\blogs\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 7, 119
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\blogs\[slug]\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 36, 223
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\blogs\[slug]\+page.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\bookmarks\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 10, 80
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\bookmarks\+page.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\contact\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 7, 45
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\links\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 28, 163
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\links\+page.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\music\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\nekoweb-feed.xml\+server.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 93
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\not_found\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\not_found\+page.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\privacy\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\projects\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\rss.xml\+server.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 72
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\utils\+page.server.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\jbcarreon123\Documents\jbsite3\src\routes\utils\+page.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 8, 45
